method,concept,folder,prompt,seed,guidance,steps,num_images,vendi_pixel,vendi_inception,fid,fid_clean,kid_mean,kid_std,clip_score,one_minus_ms_ssim,brisque
dpp,truck,a_close-up_photo_of_a_truck_seed1111_g3.0_s30,a close-up photo of a truck,1111,3.0,30,64,3.7617387207547024,6.332932949066162,146.66452506372593,,-0.002518031509222518,0.00038439193692414904,27.745361328125,0.8852389186900109,24.59009552001953
dpp,truck,a_close-up_photo_of_a_truck_seed1111_g5.0_s30,a close-up photo of a truck,1111,5.0,30,64,4.024803798793193,5.159392356872559,140.59932953599798,,-0.002099802535906692,0.0004969444256546807,27.2734375,0.892108300384134,31.573345184326172
dpp,truck,a_close-up_photo_of_a_truck_seed1111_g7.5_s30,a close-up photo of a truck,1111,7.5,30,64,3.9084154361526195,4.708614349365234,145.162585325539,,-0.002122388810248488,0.0005453903386162848,27.17626953125,0.8953870596317575,35.90872001647949
dpp,truck,a_close-up_photo_of_a_truck_seed2222_g3.0_s30,a close-up photo of a truck,2222,3.0,30,64,3.6121872774210546,5.835354328155518,144.3066001145109,,-0.002285841745896877,0.0005688575023759994,27.6083984375,0.9110218359809369,23.13990020751953
dpp,truck,a_close-up_photo_of_a_truck_seed2222_g5.0_s30,a close-up photo of a truck,2222,5.0,30,64,3.833787588418486,4.768640518188477,138.54865425943876,,-0.002305766978117485,0.0004360428001067942,27.111328125,0.9236610718443989,29.229167938232422
dpp,truck,a_close-up_photo_of_a_truck_seed2222_g7.5_s30,a close-up photo of a truck,2222,7.5,30,64,3.7600343248690935,4.111823558807373,137.88305363651858,,-0.0020920949099007212,0.000505021273879444,26.93701171875,0.9183768411818891,37.27077674865723
dpp,truck,a_close-up_photo_of_a_truck_seed3333_g3.0_s30,a close-up photo of a truck,3333,3.0,30,64,3.753720462343799,5.733935832977295,145.96732721669093,,-0.002612499959515824,0.00038365162596893916,27.529296875,0.8915586161520332,25.14698028564453
dpp,truck,a_close-up_photo_of_a_truck_seed3333_g5.0_s30,a close-up photo of a truck,3333,5.0,30,64,3.8475579772120327,4.909639835357666,140.9747410107713,,-0.0020216448156224363,0.00047362573594538155,27.026123046875,0.9156038582418113,27.634952545166016
dpp,truck,a_close-up_photo_of_a_truck_seed3333_g7.5_s30,a close-up photo of a truck,3333,7.5,30,64,3.876789034727466,4.3212385177612305,143.741058473718,,-0.002164357799142036,0.0006505775729087678,26.90673828125,0.9192184899933636,35.77426719665527
dpp,truck,a_close-up_photo_of_a_truck_seed4444_g3.0_s30,a close-up photo of a truck,4444,3.0,30,64,3.4757329734801843,5.523965835571289,138.53847806472112,,-0.0022457910462765794,0.0007480214074952043,27.63671875,0.9051428569015115,22.48502540588379
dpp,truck,a_close-up_photo_of_a_truck_seed4444_g5.0_s30,a close-up photo of a truck,4444,5.0,30,64,3.6019808169084473,4.887569904327393,137.5869599014414,,-0.002029198639846785,0.0004871247898828816,27.140380859375,0.9129565425170585,29.806640625
dpp,truck,a_close-up_photo_of_a_truck_seed4444_g7.5_s30,a close-up photo of a truck,4444,7.5,30,64,3.6238602566357327,4.077686309814453,137.40385761598486,,-0.002065801355619801,0.0005289075824325144,27.02978515625,0.9172504072217271,38.072587966918945
dpp,truck,a_cropped_photo_of_a_truck_seed1111_g3.0_s30,a cropped photo of a truck,1111,3.0,30,64,2.6501602204417734,4.755274295806885,137.32805537700042,,-0.0023589422403614835,0.0004655327934847102,27.92041015625,0.8835734933894128,19.08255386352539
